EmployeeID,FirstName,LastName,Email,Phone,EmployeeType,StartDate,IsActive,MerchantID
32,Sibylle,Toderini,stoderiniv@istockphoto.com,601-768-0564,CafeCoin,2016-2024-08,1,1
33,Pearle,Rive,privew@feedburner.com,858-915-0540,Store,2024-2025-02,0,35
34,Maressa,Wightman,mwightmanx@tripod.com,474-824-3707,CafeCoin,2031-2025-03,1,1
35,Wilhelmina,Willis,wwillisy@walmart.com,577-659-2575,Store,2006-2024-05,1,18
36,Bob,Morland,bmorlandz@prweb.com,809-129-3860,CafeCoin,2005-2024-11,1,1
37,Cornelle,Gatchel,cgatchel10@google.com.hk,327-444-7765,Store,2003-2025-03,1,13
38,Della,Snoddy,dsnoddy11@reverbnation.com,947-522-5325,CafeCoin,2004-2024-12,1,1
39,Rozelle,Merfin,rmerfin12@shop-pro.jp,423-118-0968,Store,2009-2024-06,1,8
40,Collette,Corney,ccorney13@cmu.edu,419-300-8448,CafeCoin,2026-2025-02,1,1
41,Liane,Nickerson,lnickerson14@wisc.edu,180-654-6129,Store,2017-2024-12,1,2
42,Grata,Ishak,gishak15@surveymonkey.com,384-289-6422,CafeCoin,2004-2025-01,1,1
43,Niall,Bims,nbims16@rediff.com,449-902-7530,Store,2028-2024-12,1,20
44,Pollyanna,Birk,pbirk17@google.com.hk,413-144-9712,CafeCoin,2004-2024-09,1,1
45,Avrom,Deuss,adeuss18@taobao.com,586-354-7399,Store,2014-2025-03,1,18
46,Fabio,Letson,fletson19@reuters.com,636-458-8989,CafeCoin,2002-2024-10,1,1
47,Dru,Leblanc,dleblanc1a@about.me,765-389-1565,Store,2002-2024-10,1,25
48,Irvine,Van der Brugge,ivanderbrugge1b@simplemachines.org,777-930-7191,CafeCoin,2028-2025-02,1,1
49,Vance,Newiss,vnewiss1c@surveymonkey.com,961-939-7471,Store,2025-2024-12,1,13
50,Orelie,Brenstuhl,obrenstuhl1d@dedecms.com,947-903-3830,CafeCoin,2024-2025-03,1,1
51,Orville,Saben,osaben1e@usnews.com,391-312-5947,Store,2024-2024-06,1,32
52,Michelina,Helbeck,mhelbeck1f@cloudflare.com,204-713-3295,CafeCoin,2026-2025-01,1,1
53,Goddart,Obern,gobern1g@godaddy.com,104-512-5140,Store,2010-2024-07,1,34
54,Woodman,Dillinton,wdillinton1h@illinois.edu,266-827-6123,CafeCoin,2026-2024-09,1,1
55,Leopold,Ketchaside,lketchaside1i@intel.com,496-827-7990,Store,2005-2024-11,1,24
56,Luigi,Furniss,lfurniss1j@jugem.jp,562-241-6283,CafeCoin,2010-2024-07,1,1
57,Fanny,Strelitzki,fstrelitzki1k@goo.ne.jp,388-937-0074,Store,2009-2025-01,1,13
58,Pat,Keegan,pkeegan1l@flavors.me,243-511-3118,CafeCoin,2029-2024-05,1,1
59,Inglis,Linklet,ilinklet1m@cmu.edu,926-899-4480,Store,2026-2024-10,1,20
60,Pamella,Hilhouse,philhouse1n@meetup.com,202-170-1765,CafeCoin,2003-2024-12,1,1
61,Oren,de Clerc,odeclerc1o@prnewswire.com,862-578-1190,Store,2005-2024-09,1,19
62,Isaiah,Ellins,iellins1p@sciencedaily.com,458-138-4156,CafeCoin,2002-2024-12,1,1
63,Sigismondo,Casazza,scasazza1q@trellian.com,869-618-4685,Store,2030-2024-06,1,11
64,Andee,MacSherry,amacsherry1r@people.com.cn,291-562-2676,CafeCoin,2025-2024-12,1,1
65,Janaye,Robart,jrobart1s@bing.com,997-162-5057,Store,2017-2024-04,1,40
66,Rickert,Heasly,rheasly1t@deviantart.com,753-809-2620,CafeCoin,2002-2024-06,1,1
67,Dionisio,Spellar,dspellar1u@purevolume.com,820-832-6030,Store,2024-2024-08,1,14
68,Tanner,Berrisford,tberrisford1v@blogger.com,495-545-4159,CafeCoin,2008-2024-07,1,1
69,Janean,Golbourn,jgolbourn1w@domainmarket.com,838-319-6338,Store,2011-2024-06,1,24
70,Fleur,Rotham,frotham1x@google.de,475-364-1348,CafeCoin,2031-2024-05,0,1
71,Orlando,Fieller,ofieller1y@sakura.ne.jp,886-503-1486,Store,2004-2024-11,1,13
72,Bealle,Keatch,bkeatch1z@chronoengine.com,437-591-8209,CafeCoin,2014-2024-11,0,1
73,Svend,Deeth,sdeeth20@t.co,364-381-8403,Store,2014-2024-06,1,10
74,Henrie,Dyton,hdyton21@prnewswire.com,982-767-5031,CafeCoin,2016-2024-04,1,1
75,Cobb,Mulrooney,cmulrooney22@rakuten.co.jp,987-411-2832,Store,2007-2024-11,1,34
76,Bernete,Gerok,bgerok23@wunderground.com,289-575-3153,CafeCoin,2030-2024-11,1,1
77,Ania,McMurtyr,amcmurtyr24@cnbc.com,901-622-1649,Store,2024-2024-07,1,1
78,Samuel,Lush,slush25@ustream.tv,931-207-0116,CafeCoin,2017-2024-09,0,1
79,Tracy,Elster,telster26@answers.com,972-524-5027,Store,2006-2025-04,1,15
80,Juline,Eyree,jeyree27@cdbaby.com,360-379-4462,CafeCoin,2006-2024-05,1,1
