CustomerID,FirstName,LastName,Email,Phone,StreetAddress,Apartment,City,State,ZipCode,CoinBalance,AccountBalance,DateJoined,IsActive,AutoReloadAmt
28,Jule,McMinn,jmcminnr@weebly.com,816-156-7199,0473 Stephen Drive,Suite 23,Kansas City,Missouri,64142,39,27,2005-2024-08,0,15
29,Alphonso,Shoubridge,ashoubridges@noaa.gov,904-458-0318,17 Carioca Park,Room 1173,Jacksonville,Florida,32244,0,76,2027-2024-05,0,0
30,Danyette,Stapels,dstapelst@state.gov,239-774-3266,37 Sugar Trail,16th Floor,Cape Coral,Florida,33915,67,90,2015-2025-01,0,0
31,Keelby,Jozwicki,kjozwickiu@examiner.com,817-261-0796,179 Thierer Lane,Apt 825,Fort Worth,Texas,76121,32,13,2020-2024-12,0,0
32,Leonhard,Pattingson,lpattingsonv@e-recht24.de,520-770-8996,3540 Tony Street,Room 1553,Tucson,Arizona,85710,87,66,2018-2024-10,0,0
33,Brunhilda,Cicetti,bcicettiw@360.cn,317-789-1344,783 Gale Plaza,Room 1850,Indianapolis,Indiana,46207,157,17,2030-2024-11,0,0
34,Emili,Saines,esainesx@baidu.com,916-900-1892,88 Buhler Court,Room 1556,Sacramento,California,95813,79,62,2009-2024-11,0,0
35,Jeannine,Edinburough,jedinburoughy@icio.us,970-513-6253,6182 Green Ridge Junction,Suite 86,Greeley,Colorado,80638,97,10,2011-2024-05,0,0
36,Grantley,Abeles,gabelesz@myspace.com,716-668-2302,53 Hintze Avenue,Suite 26,Buffalo,New York,14276,399,10,2027-2024-12,0,0
37,Morgen,Giscken,mgiscken10@reference.com,212-857-0082,5 Coleman Drive,Room 523,Jamaica,New York,11499,22,27,2023-2024-12,0,0
38,Jenifer,Derx,jderx11@alibaba.com,205-184-5635,13332 Mifflin Point,Room 1063,Tuscaloosa,Alabama,35405,98,86,2030-2024-11,0,0
39,Iorgos,Dyter,idyter12@bing.com,706-171-1977,935 Monterey Park,Room 168,Columbus,Georgia,31904,11,67,2004-2024-09,0,0
40,Olga,Pettit,opettit13@yale.edu,919-406-0934,15 Old Gate Place,Suite 32,Raleigh,North Carolina,27610,38,37,2001-2025-01,0,0
