LeadId,AssignedToEmp,BusinessName,OwnerFirst,OwnerLast,Email,PhoneNumber,StreetAddress,Website,Status,Notes,LastCOntactedAt
11,17,Devpoint,Allyn,Nuttall,anuttalla@t.co,894-419-9579,52 Lotheville Alley,http://ca.gov/varius/ut.jpg?in=interdum&faucibus=eu&orci=tincidunt&luctus=in&et=leo&ultrices=maecenas&posuere=pulvinar&cubilia=lobortis&curae=est&duis=phasellus&faucibus=sit&accumsan=amet&odio=erat&curabitur=nulla&convallis=tempus&duis=vivamus&consequat=i,Negotiating,Discussed competitor,2023-03-03
12,9,Blognation,Jesse,Freschi,jfreschib@state.gov,799-844-9378,45216 Del Mar Lane,https://feedburner.com/tortor/id/nulla/ultrices.xml?primis=tortor&in=sollicitudin&faucibus=mi&orci=sit&luctus=amet&et=lobortis&ultrices=sapien&posuere=sapien&cubilia=non&curae=mi&duis=integer&faucibus=ac&accumsan=neque&odio=duis&curabitur=bibendum&convall,In Review,Wants more examples,2025-01-27
13,43,Viva,Waylin,Rosenbloom,wrosenbloomc@scribd.com,662-773-2201,1 Reinke Parkway,https://google.de/ultrices/phasellus/id/sapien/in/sapien/iaculis.jsp?risus=fusce&dapibus=lacus&augue=purus&vel=aliquet&accumsan=at&tellus=feugiat&nisi=non&eu=pretium&orci=quis&mauris=lectus&lacinia=suspendisse&sapien=potenti&quis=in&libero=eleifend&nullam,Negotiating,Following up in two days,2023-11-05
14,47,Omba,Katha,Winspur,kwinspurd@163.com,589-246-1261,5 2nd Parkway,https://qq.com/habitasse/platea/dictumst/aliquam.aspx?vivamus=rutrum&tortor=nulla&duis=nunc&mattis=purus&egestas=phasellus&metus=in&aenean=felis&fermentum=donec&donec=semper&ut=sapien&mauris=a&eget=libero&massa=nam&tempor=dui&convallis=proin&nulla=leo&neq,In Review,Needs legal review,2023-01-29
15,22,Yamia,Dagny,Boissieux,dboissieuxe@xrea.com,865-482-5567,047 Westport Point,https://pbs.org/lectus/in.js?at=imperdiet&nibh=sapien&in=urna&hac=pretium&habitasse=nisl&platea=ut&dictumst=volutpat&aliquam=sapien&augue=arcu&quam=sed&sollicitudin=augue&vitae=aliquam&consectetuer=erat&eget=volutpat&rutrum=in&at=congue&lorem=etiam&intege,Contacted,Reviewing with manager,2023-11-04
16,13,Talane,Zacharia,Clink,zclinkf@hexun.com,431-492-4742,4787 Continental Point,https://yellowbook.com/consequat/dui/nec/nisi.js?volutpat=molestie&quam=hendrerit&pede=at&lobortis=vulputate&ligula=vitae&sit=nisl&amet=aenean&eleifend=lectus&pede=pellentesque&libero=eget&quis=nunc&orci=donec&nullam=quis&molestie=orci&nibh=eget&in=orci&l,New,Reviewing with manager,2024-07-10
17,33,Eamia,Emmet,Cocci,ecoccig@ezinearticles.com,986-901-9750,6551 Cambridge Hill,http://e-recht24.de/sit/amet/sem/fusce/consequat/nulla.xml?volutpat=elementum&quam=in&pede=hac&lobortis=habitasse&ligula=platea&sit=dictumst&amet=morbi&eleifend=vestibulum&pede=velit&libero=id&quis=pretium&orci=iaculis&nullam=diam&molestie=erat&nibh=ferme,Closed Lost,Likes product unsure of budget,2023-04-26
18,70,Realblab,Annice,Diamond,adiamondh@ebay.co.uk,774-872-8575,8 Leroy Parkway,http://netscape.com/iaculis/diam/erat/fermentum/justo/nec.png?dolor=metus&morbi=sapien&vel=ut&lectus=nunc&in=vestibulum&quam=ante&fringilla=ipsum&rhoncus=primis&mauris=in&enim=faucibus&leo=orci&rhoncus=luctus&sed=et&vestibulum=ultrices&sit=posuere&amet=cu,Negotiating,Interested in free trial,2023-11-08
19,14,Zooveo,Daryle,Tydeman,dtydemani@umich.edu,746-626-6121,38 Ruskin Street,http://nature.com/vivamus/vestibulum/sagittis/sapien/cum/sociis/natoque.json?nulla=sagittis&ut=nam&erat=congue&id=risus&mauris=semper&vulputate=porta&elementum=volutpat&nullam=quam&varius=pede&nulla=lobortis&facilisi=ligula&cras=sit&non=amet&velit=eleifen,In Review,Scheduled follow-up call,2023-04-21
20,1,Tagpad,Klemens,Kenset,kkensetj@google.es,254-285-5299,8 Bartillon Trail,https://over-blog.com/eget/orci.xml?euismod=ante&scelerisque=ipsum&quam=primis&turpis=in&adipiscing=faucibus&lorem=orci&vitae=luctus&mattis=et&nibh=ultrices&ligula=posuere&nec=cubilia&sem=curae&duis=nulla&aliquam=dapibus&convallis=dolor&nunc=vel&proin=est,Closed Lost,Rescheduled call,2023-10-14
21,63,Mydo,Hurley,Temblett,htemblettk@dion.ne.jp,105-120-1000,36 Upham Way,https://altervista.org/leo.js?dapibus=cursus&dolor=id&vel=turpis&est=integer&donec=aliquet&odio=massa&justo=id&sollicitudin=lobortis&ut=convallis&suscipit=tortor&a=risus&feugiat=dapibus&et=augue&eros=vel&vestibulum=accumsan&ac=tellus&est=nisi&lacinia=eu&n,In Review,Added to newsletter,2024-05-20
22,45,Dynabox,Pru,Girogetti,pgirogettil@hatena.ne.jp,770-544-7188,32 Upham Drive,https://dailymail.co.uk/auctor/sed/tristique.aspx?pede=blandit&justo=non&eu=interdum&massa=in&donec=ante&dapibus=vestibulum&duis=ante&at=ipsum&velit=primis&eu=in&est=faucibus&congue=orci&elementum=luctus&in=et&hac=ultrices&habitasse=posuere&platea=cubilia,In Review,Sent proposal,2024-07-22
23,55,Lajo,Karla,Tregent,ktregentm@hc360.com,313-161-0248,8183 Towne Plaza,https://bravesites.com/volutpat/convallis/morbi/odio/odio/elementum/eu.html?fringilla=pede&rhoncus=malesuada&mauris=in&enim=imperdiet&leo=et&rhoncus=commodo&sed=vulputate&vestibulum=justo&sit=in&amet=blandit&cursus=ultrices&id=enim&turpis=lorem&integer=ip,Closed Lost,Awaiting response,2023-09-20
24,56,Flipstorm,Merridie,Sears,msearsn@hostgator.com,124-855-5881,559 Hazelcrest Parkway,http://51.la/consequat/lectus/in/est.png?pede=fusce&venenatis=congue&non=diam&sodales=id&sed=ornare&tincidunt=imperdiet&eu=sapien&felis=urna&fusce=pretium&posuere=nisl&felis=ut&sed=volutpat&lacus=sapien&morbi=arcu&sem=sed&mauris=augue&laoreet=aliquam&ut=e,Contacted,Not the right time,2024-10-12
25,69,Realbuzz,Kenna,Colecrough,kcolecrougho@wp.com,301-333-6959,29 Westport Trail,https://unc.edu/id/ornare/imperdiet/sapien/urna/pretium/nisl.json?eros=viverra&vestibulum=pede&ac=ac&est=diam&lacinia=cras&nisi=pellentesque&venenatis=volutpat&tristique=dui&fusce=maecenas&congue=tristique&diam=est&id=et&ornare=tempus&imperdiet=semper&sap,Contacted,Forwarded deck,2024-04-11
26,15,JumpXS,Auberta,Freed,afreedp@prweb.com,265-673-1876,446 Melrose Road,https://nifty.com/vitae/consectetuer/eget.png?in=sapien&libero=cursus&ut=vestibulum&massa=proin&volutpat=eu&convallis=mi&morbi=nulla&odio=ac&odio=enim&elementum=in&eu=tempor&interdum=turpis&eu=nec&tincidunt=euismod&in=scelerisque&leo=quam&maecenas=turpis&,Closed Lost,Rescheduled call,2024-03-09
27,7,Brainsphere,Rosalia,Jefferson,rjeffersonq@netvibes.com,972-262-0273,7910 Caliangt Junction,https://parallels.com/ultrices/libero/non/mattis/pulvinar.png?ultrices=praesent&posuere=blandit&cubilia=nam&curae=nulla&nulla=integer&dapibus=pede&dolor=justo&vel=lacinia&est=eget&donec=tincidunt&odio=eget&justo=tempus&sollicitudin=vel&ut=pede&suscipit=mo,Negotiating,Left voicemail,2024-12-25
28,18,Mydo,Lorianne,Oppy,loppyr@edublogs.org,449-854-1978,76 Texas Avenue,http://sciencedaily.com/viverra/dapibus/nulla.json?ac=vehicula&nulla=condimentum&sed=curabitur&vel=in&enim=libero&sit=ut&amet=massa&nunc=volutpat&viverra=convallis&dapibus=morbi&nulla=odio&suscipit=odio&ligula=elementum&in=eu&lacus=interdum&curabitur=eu&a,Contacted,Left voicemail,2023-07-06
29,8,Dabjam,Aurelea,Gilbride,agilbrides@gravatar.com,961-281-1490,1485 Maryland Center,https://macromedia.com/est/lacinia/nisi.html?at=sed&vulputate=sagittis&vitae=nam&nisl=congue&aenean=risus&lectus=semper&pellentesque=porta&eget=volutpat&nunc=quam&donec=pede&quis=lobortis&orci=ligula&eget=sit&orci=amet&vehicula=eleifend&condimentum=pede&c,Closed Won,Interested in free trial,2024-05-04
30,65,Brainlounge,Ajay,Fraulo,afraulot@flavors.me,407-309-4191,752 American Way,https://msn.com/nibh/in/lectus/pellentesque/at.aspx?nec=consequat&euismod=dui&scelerisque=nec&quam=nisi&turpis=volutpat&adipiscing=eleifend&lorem=donec&vitae=ut&mattis=dolor&nibh=morbi&ligula=vel&nec=lectus&sem=in&duis=quam&aliquam=fringilla&convallis=rho,Contacted,Likes product unsure of budget,2024-09-05
31,80,Edgeclub,Alon,Goudge,agoudgeu@booking.com,855-876-7066,5 Stone Corner Plaza,http://hostgator.com/sit/amet/erat/nulla.aspx?morbi=bibendum&quis=imperdiet&tortor=nullam&id=orci&nulla=pede&ultrices=venenatis&aliquet=non&maecenas=sodales&leo=sed&odio=tincidunt&condimentum=eu&id=felis&luctus=fusce&nec=posuere&molestie=felis&sed=sed&jus,Closed Lost,Passed along to partner,2023-12-11
32,62,Gabtype,Eugenia,Sandeland,esandelandv@arizona.edu,746-597-3196,84 Transport Pass,http://wix.com/orci/nullam/molestie/nibh/in/lectus.jsp?cras=aenean&in=fermentum&purus=donec&eu=ut&magna=mauris&vulputate=eget&luctus=massa&cum=tempor&sociis=convallis&natoque=nulla&penatibus=neque&et=libero&magnis=convallis&dis=eget&parturient=eleifend&mo,Negotiating,Interested in free trial,2023-02-23
33,51,Zooveo,Maren,Bowkett,mbowkettw@jugem.jp,673-834-3664,3512 Fisk Parkway,https://wunderground.com/turpis/eget/elit/sodales/scelerisque.jsp?orci=vivamus&nullam=vestibulum&molestie=sagittis&nibh=sapien&in=cum&lectus=sociis&pellentesque=natoque&at=penatibus&nulla=et&suspendisse=magnis&potenti=dis&cras=parturient&in=montes&purus=n,New,Left voicemail,2024-03-27
34,3,Aibox,Rycca,Erskin,rerskinx@webeden.co.uk,479-713-3467,7 Tony Way,https://wikimedia.org/sem/praesent.png?eget=molestie&elit=lorem&sodales=quisque&scelerisque=ut&mauris=erat&sit=curabitur&amet=gravida&eros=nisi&suspendisse=at&accumsan=nibh&tortor=in&quis=hac&turpis=habitasse&sed=platea&ante=dictumst&vivamus=aliquam&torto,Contacted,Wants to see case studies,2023-12-30
35,48,Zoomlounge,Norbie,Vasyukhin,nvasyukhiny@ucoz.com,757-637-5540,20303 Orin Point,http://imgur.com/amet/nulla/quisque.aspx?phasellus=ipsum&sit=praesent&amet=blandit&erat=lacinia&nulla=erat&tempus=vestibulum&vivamus=sed&in=magna&felis=at&eu=nunc&sapien=commodo&cursus=placerat&vestibulum=praesent&proin=blandit&eu=nam&mi=nulla&nulla=integ,Contacted,Rescheduled call,2024-10-29
36,38,Dynabox,Brice,Gunny,bgunnyz@lycos.com,634-554-1132,47369 Vernon Point,http://nasa.gov/ac/lobortis/vel/dapibus/at.html?luctus=ac&cum=leo&sociis=pellentesque&natoque=ultrices&penatibus=mattis&et=odio&magnis=donec&dis=vitae&parturient=nisi&montes=nam&nascetur=ultrices&ridiculus=libero&mus=non&vivamus=mattis&vestibulum=pulvinar,Contacted,Wants to see case studies,2024-05-11
37,57,Dabfeed,Shae,Feakins,sfeakins10@diigo.com,810-371-6465,30411 Summer Ridge Lane,http://cdbaby.com/mauris/lacinia/sapien/quis/libero/nullam/sit.png?gravida=venenatis&sem=turpis&praesent=enim&id=blandit&massa=mi,Contacted,Likes product unsure of budget,2023-06-06
38,20,Leenti,Bancroft,Coggles,bcoggles11@pagesperso-orange.fr,116-952-2245,903 Dahle Junction,http://auda.org.au/vel.jsp?eget=sit&rutrum=amet&at=cursus&lorem=id&integer=turpis&tincidunt=integer&ante=aliquet&vel=massa&ipsum=id&praesent=lobortis&blandit=convallis&lacinia=tortor&erat=risus&vestibulum=dapibus&sed=augue&magna=vel&at=accumsan&nunc=tellu,Contacted,Wants more examples,2024-08-04
39,72,Quamba,Patrice,Bushen,pbushen12@springer.com,153-320-1863,13050 Service Street,https://illinois.edu/mauris/vulputate/elementum/nullam.jsp?convallis=aenean&nulla=auctor&neque=gravida&libero=sem&convallis=praesent&eget=id&eleifend=massa&luctus=id&ultricies=nisl&eu=venenatis&nibh=lacinia&quisque=aenean&id=sit&justo=amet&sit=justo&amet=,Closed Won,Waiting for budget approval,2023-10-01
40,27,Devify,Fidole,Stoney,fstoney13@mlb.com,517-900-8823,9199 Blue Bill Park Terrace,https://lulu.com/ipsum/primis/in/faucibus/orci.json?risus=et&praesent=tempus&lectus=semper&vestibulum=est&quam=quam&sapien=pharetra&varius=magna&ut=ac&blandit=consequat,Closed Lost,Following up in two days,2023-04-26
41,23,Yozio,Kylila,Shailer,kshailer14@infoseek.co.jp,284-238-6945,5 Aberg Trail,https://mtv.com/elit/proin/interdum/mauris.json?semper=sapien,Closed Lost,Reviewing with manager,2023-10-27
42,19,Youbridge,Cyndi,Steinson,csteinson15@hhs.gov,805-469-7897,54102 Monument Alley,https://uol.com.br/nec/nisi/vulputate/nonummy/maecenas/tincidunt.jpg?molestie=donec&nibh=dapibus&in=duis&lectus=at&pellentesque=velit&at=eu&nulla=est&suspendisse=congue&potenti=elementum&cras=in&in=hac&purus=habitasse&eu=platea&magna=dictumst&vulputate=mo,Negotiating,Introduced to second decision-maker,2024-04-23
43,44,Fiveclub,Aldis,Medlen,amedlen16@blog.com,171-232-9967,69 Doe Crossing Plaza,https://bloglovin.com/at/diam.json?ultrices=morbi&vel=a&augue=ipsum&vestibulum=integer&ante=a&ipsum=nibh&primis=in&in=quis&faucibus=justo&orci=maecenas&luctus=rhoncus&et=aliquam&ultrices=lacus&posuere=morbi&cubilia=quis&curae=tortor&donec=id&pharetra=null,New,Internal team reviewing,2023-07-10
44,66,Realcube,Leeann,Kinloch,lkinloch17@icio.us,548-460-3519,91911 Sachs Plaza,http://mayoclinic.com/curae.html?amet=dictumst&lobortis=maecenas&sapien=ut&sapien=massa&non=quis&mi=augue&integer=luctus&ac=tincidunt&neque=nulla&duis=mollis&bibendum=molestie&morbi=lorem&non=quisque&quam=ut&nec=erat&dui=curabitur&luctus=gravida&rutrum=ni,In Review,Needs Q2 launch,2023-05-25
45,30,Dabjam,Alonso,Ottery,aottery18@stanford.edu,829-618-6327,0100 Rusk Junction,https://pinterest.com/felis/eu/sapien/cursus/vestibulum/proin/eu.json?vivamus=sollicitudin&metus=mi&arcu=sit&adipiscing=amet&molestie=lobortis&hendrerit=sapien&at=sapien&vulputate=non&vitae=mi&nisl=integer&aenean=ac&lectus=neque&pellentesque=duis&eget=bib,Contacted,Sent intro email,2023-01-19
46,21,Jaxworks,Rochette,Blurton,rblurton19@adobe.com,320-259-5681,2 Almo Park,https://cbc.ca/ac/consequat.jsp?pharetra=proin&magna=interdum&vestibulum=mauris&aliquet=non&ultrices=ligula&erat=pellentesque&tortor=ultrices&sollicitudin=phasellus&mi=id&sit=sapien&amet=in&lobortis=sapien&sapien=iaculis&sapien=congue&non=vivamus&mi=metus,Contacted,Discussed competitor,2025-01-18
47,37,Quinu,Karlyn,Fennelly,kfennelly1a@nifty.com,853-213-3496,99 Bluejay Court,https://cpanel.net/vulputate.jpg?imperdiet=sodales&sapien=sed&urna=tincidunt&pretium=eu&nisl=felis&ut=fusce&volutpat=posuere&sapien=felis&arcu=sed,Negotiating,No answer on call,2024-04-11
48,31,DabZ,Brier,Imloch,bimloch1b@behance.net,577-914-4468,40679 2nd Alley,http://comsenz.com/a/nibh/in/quis/justo/maecenas/rhoncus.aspx?ipsum=adipiscing&primis=molestie&in=hendrerit&faucibus=at&orci=vulputate&luctus=vitae&et=nisl&ultrices=aenean,Negotiating,Attending upcoming demo,2025-01-17
49,36,Lajo,Wilie,Pass,wpass1c@etsy.com,190-358-2048,30412 Nancy Trail,https://1688.com/in/tempus/sit/amet.jsp?molestie=consequat&hendrerit=ut&at=nulla&vulputate=sed&vitae=accumsan&nisl=felis&aenean=ut&lectus=at&pellentesque=dolor&eget=quis&nunc=odio&donec=consequat&quis=varius&orci=integer&eget=ac&orci=leo&vehicula=pellente,Closed Won,Negotiating pricing,2025-01-06
50,6,Linkbuzz,Lorilyn,Iacoboni,liacoboni1d@howstuffworks.com,724-297-8904,3387 Hanson Park,https://ucoz.com/sit.png?eleifend=sollicitudin&luctus=mi&ultricies=sit&eu=amet&nibh=lobortis&quisque=sapien&id=sapien&justo=non&sit=mi&amet=integer&sapien=ac&dignissim=neque&vestibulum=duis&vestibulum=bibendum&ante=morbi&ipsum=non&primis=quam&in=nec&fauci,Closed Lost,Said to reach back next week,2025-03-02
