LeadId,AssignedToEmp,BusinessName,OwnerFirst,OwnerLast,Email,PhoneNumber,Address,Website,Status,Notes,LastCOntactedAt
11,17,Devpoint,Allyn,Nuttall,anuttalla@t.co,894-419-9579,52 Lotheville Alley,http://ca.gov/varius/ut.jpg?in=interdum&faucibus=eu&orci=tincidunt&luctus=in&et=leo&ultrices=maecenas&posuere=pulvinar&cubilia=lobortis&curae=est&duis=phasellus&faucibus=sit&accumsan=amet&odio=erat&curabitur=nulla&convallis=tempus&duis=vivamus&consequat=in&dui=felis&nec=eu&nisi=sapien&volutpat=cursus&eleifend=vestibulum&donec=proin&ut=eu&dolor=mi&morbi=nulla&vel=ac&lectus=enim&in=in&quam=tempor&fringilla=turpis&rhoncus=nec&mauris=euismod&enim=scelerisque&leo=quam&rhoncus=turpis&sed=adipiscing&vestibulum=lorem&sit=vitae&amet=mattis&cursus=nibh&id=ligula&turpis=nec&integer=sem&aliquet=duis&massa=aliquam&id=convallis&lobortis=nunc&convallis=proin&tortor=at&risus=turpis&dapibus=a&augue=pede&vel=posuere&accumsan=nonummy&tellus=integer&nisi=non&eu=velit&orci=donec&mauris=diam&lacinia=neque&sapien=vestibulum&quis=eget&libero=vulputate&nullam=ut&sit=ultrices&amet=vel&turpis=augue&elementum=vestibulum&ligula=ante&vehicula=ipsum&consequat=primis&morbi=in&a=faucibus&ipsum=orci&integer=luctus&a=et&nibh=ultrices&in=posuere&quis=cubilia&justo=curae,Negotiating,Discussed competitor,3/3/2023
12,9,Blognation,Jesse,Freschi,jfreschib@state.gov,799-844-9378,45216 Del Mar Lane,https://feedburner.com/tortor/id/nulla/ultrices.xml?primis=tortor&in=sollicitudin&faucibus=mi&orci=sit&luctus=amet&et=lobortis&ultrices=sapien&posuere=sapien&cubilia=non&curae=mi&duis=integer&faucibus=ac&accumsan=neque&odio=duis&curabitur=bibendum&convallis=morbi&duis=non&consequat=quam&dui=nec&nec=dui&nisi=luctus&volutpat=rutrum&eleifend=nulla&donec=tellus&ut=in&dolor=sagittis&morbi=dui&vel=vel&lectus=nisl&in=duis&quam=ac&fringilla=nibh&rhoncus=fusce&mauris=lacus&enim=purus&leo=aliquet&rhoncus=at&sed=feugiat&vestibulum=non&sit=pretium,In Review,Wants more examples,1/27/2025
13,43,Viva,Waylin,Rosenbloom,wrosenbloomc@scribd.com,662-773-2201,1 Reinke Parkway,https://google.de/ultrices/phasellus/id/sapien/in/sapien/iaculis.jsp?risus=fusce&dapibus=lacus&augue=purus&vel=aliquet&accumsan=at&tellus=feugiat&nisi=non&eu=pretium&orci=quis&mauris=lectus&lacinia=suspendisse&sapien=potenti&quis=in&libero=eleifend&nullam=quam&sit=a&amet=odio&turpis=in&elementum=hac&ligula=habitasse&vehicula=platea&consequat=dictumst&morbi=maecenas&a=ut&ipsum=massa&integer=quis&a=augue&nibh=luctus&in=tincidunt&quis=nulla&justo=mollis&maecenas=molestie&rhoncus=lorem&aliquam=quisque&lacus=ut&morbi=erat&quis=curabitur&tortor=gravida&id=nisi&nulla=at&ultrices=nibh&aliquet=in&maecenas=hac&leo=habitasse&odio=platea&condimentum=dictumst&id=aliquam&luctus=augue&nec=quam&molestie=sollicitudin&sed=vitae&justo=consectetuer&pellentesque=eget&viverra=rutrum&pede=at&ac=lorem&diam=integer&cras=tincidunt&pellentesque=ante&volutpat=vel&dui=ipsum&maecenas=praesent&tristique=blandit&est=lacinia&et=erat&tempus=vestibulum&semper=sed&est=magna&quam=at&pharetra=nunc&magna=commodo&ac=placerat&consequat=praesent&metus=blandit&sapien=nam&ut=nulla&nunc=integer&vestibulum=pede&ante=justo&ipsum=lacinia&primis=eget,Negotiating,Following up in two days,11/5/2023
14,47,Omba,Katha,Winspur,kwinspurd@163.com,589-246-1261,5 2nd Parkway,https://qq.com/habitasse/platea/dictumst/aliquam.aspx?vivamus=rutrum&tortor=nulla&duis=nunc&mattis=purus&egestas=phasellus&metus=in&aenean=felis&fermentum=donec&donec=semper&ut=sapien&mauris=a&eget=libero&massa=nam&tempor=dui&convallis=proin&nulla=leo&neque=odio&libero=porttitor&convallis=id&eget=consequat&eleifend=in&luctus=consequat&ultricies=ut&eu=nulla&nibh=sed&quisque=accumsan&id=felis&justo=ut&sit=at&amet=dolor&sapien=quis&dignissim=odio&vestibulum=consequat&vestibulum=varius&ante=integer&ipsum=ac&primis=leo&in=pellentesque&faucibus=ultrices,In Review,Needs legal review,1/29/2023
15,22,Yamia,Dagny,Boissieux,dboissieuxe@xrea.com,865-482-5567,047 Westport Point,https://pbs.org/lectus/in.js?at=imperdiet&nibh=sapien&in=urna&hac=pretium&habitasse=nisl&platea=ut&dictumst=volutpat&aliquam=sapien&augue=arcu&quam=sed&sollicitudin=augue&vitae=aliquam&consectetuer=erat&eget=volutpat&rutrum=in&at=congue&lorem=etiam&integer=justo&tincidunt=etiam&ante=pretium&vel=iaculis&ipsum=justo&praesent=in&blandit=hac&lacinia=habitasse&erat=platea&vestibulum=dictumst&sed=etiam&magna=faucibus&at=cursus&nunc=urna&commodo=ut&placerat=tellus,Contacted,Reviewing with manager,11/4/2023
16,13,Talane,Zacharia,Clink,zclinkf@hexun.com,431-492-4742,4787 Continental Point,https://yellowbook.com/consequat/dui/nec/nisi.js?volutpat=molestie&quam=hendrerit&pede=at&lobortis=vulputate&ligula=vitae&sit=nisl&amet=aenean&eleifend=lectus&pede=pellentesque&libero=eget&quis=nunc&orci=donec&nullam=quis&molestie=orci&nibh=eget&in=orci&lectus=vehicula&pellentesque=condimentum&at=curabitur&nulla=in&suspendisse=libero&potenti=ut&cras=massa&in=volutpat&purus=convallis&eu=morbi&magna=odio&vulputate=odio&luctus=elementum&cum=eu&sociis=interdum&natoque=eu&penatibus=tincidunt&et=in&magnis=leo&dis=maecenas&parturient=pulvinar&montes=lobortis&nascetur=est&ridiculus=phasellus&mus=sit&vivamus=amet&vestibulum=erat&sagittis=nulla&sapien=tempus&cum=vivamus&sociis=in&natoque=felis&penatibus=eu&et=sapien&magnis=cursus&dis=vestibulum&parturient=proin&montes=eu&nascetur=mi&ridiculus=nulla&mus=ac&etiam=enim&vel=in&augue=tempor&vestibulum=turpis&rutrum=nec&rutrum=euismod&neque=scelerisque&aenean=quam&auctor=turpis&gravida=adipiscing&sem=lorem&praesent=vitae,New,Reviewing with manager,7/10/2024
17,33,Eamia,Emmet,Cocci,ecoccig@ezinearticles.com,986-901-9750,6551 Cambridge Hill,http://e-recht24.de/sit/amet/sem/fusce/consequat/nulla.xml?volutpat=elementum&quam=in&pede=hac&lobortis=habitasse&ligula=platea&sit=dictumst&amet=morbi&eleifend=vestibulum&pede=velit&libero=id&quis=pretium&orci=iaculis&nullam=diam&molestie=erat&nibh=fermentum&in=justo&lectus=nec&pellentesque=condimentum&at=neque&nulla=sapien&suspendisse=placerat&potenti=ante&cras=nulla&in=justo&purus=aliquam&eu=quis&magna=turpis&vulputate=eget&luctus=elit&cum=sodales&sociis=scelerisque&natoque=mauris&penatibus=sit&et=amet&magnis=eros&dis=suspendisse&parturient=accumsan&montes=tortor&nascetur=quis&ridiculus=turpis&mus=sed&vivamus=ante&vestibulum=vivamus&sagittis=tortor&sapien=duis&cum=mattis&sociis=egestas&natoque=metus&penatibus=aenean&et=fermentum&magnis=donec&dis=ut&parturient=mauris&montes=eget&nascetur=massa&ridiculus=tempor&mus=convallis&etiam=nulla&vel=neque&augue=libero&vestibulum=convallis&rutrum=eget&rutrum=eleifend&neque=luctus&aenean=ultricies&auctor=eu&gravida=nibh&sem=quisque&praesent=id&id=justo&massa=sit,Closed Lost,Likes product unsure of budget,4/26/2023
18,70,Realblab,Annice,Diamond,adiamondh@ebay.co.uk,774-872-8575,8 Leroy Parkway,http://netscape.com/iaculis/diam/erat/fermentum/justo/nec.png?dolor=metus&morbi=sapien&vel=ut&lectus=nunc&in=vestibulum&quam=ante&fringilla=ipsum&rhoncus=primis&mauris=in&enim=faucibus&leo=orci&rhoncus=luctus&sed=et&vestibulum=ultrices&sit=posuere&amet=cubilia&cursus=curae&id=mauris&turpis=viverra&integer=diam&aliquet=vitae&massa=quam&id=suspendisse&lobortis=potenti&convallis=nullam&tortor=porttitor&risus=lacus&dapibus=at&augue=turpis&vel=donec&accumsan=posuere&tellus=metus&nisi=vitae&eu=ipsum&orci=aliquam&mauris=non&lacinia=mauris&sapien=morbi&quis=non&libero=lectus&nullam=aliquam&sit=sit&amet=amet&turpis=diam,Negotiating,Interested in free trial,11/8/2023
19,14,Zooveo,Daryle,Tydeman,dtydemani@umich.edu,746-626-6121,38 Ruskin Street,http://nature.com/vivamus/vestibulum/sagittis/sapien/cum/sociis/natoque.json?nulla=sagittis&ut=nam&erat=congue&id=risus&mauris=semper&vulputate=porta&elementum=volutpat&nullam=quam&varius=pede&nulla=lobortis&facilisi=ligula&cras=sit&non=amet&velit=eleifend&nec=pede&nisi=libero&vulputate=quis&nonummy=orci&maecenas=nullam&tincidunt=molestie&lacus=nibh&at=in&velit=lectus&vivamus=pellentesque&vel=at&nulla=nulla&eget=suspendisse&eros=potenti&elementum=cras&pellentesque=in&quisque=purus&porta=eu&volutpat=magna&erat=vulputate&quisque=luctus&erat=cum&eros=sociis&viverra=natoque&eget=penatibus&congue=et&eget=magnis&semper=dis&rutrum=parturient&nulla=montes&nunc=nascetur&purus=ridiculus&phasellus=mus&in=vivamus&felis=vestibulum&donec=sagittis&semper=sapien&sapien=cum&a=sociis&libero=natoque&nam=penatibus&dui=et&proin=magnis&leo=dis&odio=parturient&porttitor=montes&id=nascetur&consequat=ridiculus&in=mus&consequat=etiam&ut=vel&nulla=augue&sed=vestibulum&accumsan=rutrum&felis=rutrum&ut=neque&at=aenean&dolor=auctor&quis=gravida&odio=sem&consequat=praesent&varius=id&integer=massa&ac=id&leo=nisl&pellentesque=venenatis&ultrices=lacinia&mattis=aenean&odio=sit&donec=amet&vitae=justo&nisi=morbi&nam=ut&ultrices=odio&libero=cras,In Review,Scheduled follow-up call,4/21/2023
20,1,Tagpad,Klemens,Kenset,kkensetj@google.es,254-285-5299,8 Bartillon Trail,https://over-blog.com/eget/orci.xml?euismod=ante&scelerisque=ipsum&quam=primis&turpis=in&adipiscing=faucibus&lorem=orci&vitae=luctus&mattis=et&nibh=ultrices&ligula=posuere&nec=cubilia&sem=curae&duis=nulla&aliquam=dapibus&convallis=dolor&nunc=vel&proin=est&at=donec&turpis=odio&a=justo&pede=sollicitudin&posuere=ut&nonummy=suscipit&integer=a&non=feugiat&velit=et&donec=eros&diam=vestibulum&neque=ac&vestibulum=est&eget=lacinia&vulputate=nisi,Closed Lost,Rescheduled call,10/14/2023
21,63,Mydo,Hurley,Temblett,htemblettk@dion.ne.jp,105-120-1000,36 Upham Way,https://altervista.org/leo.js?dapibus=cursus&dolor=id&vel=turpis&est=integer&donec=aliquet&odio=massa&justo=id&sollicitudin=lobortis&ut=convallis&suscipit=tortor&a=risus&feugiat=dapibus&et=augue&eros=vel&vestibulum=accumsan&ac=tellus&est=nisi&lacinia=eu&nisi=orci&venenatis=mauris&tristique=lacinia&fusce=sapien&congue=quis&diam=libero&id=nullam&ornare=sit&imperdiet=amet&sapien=turpis&urna=elementum&pretium=ligula&nisl=vehicula&ut=consequat&volutpat=morbi&sapien=a&arcu=ipsum&sed=integer&augue=a&aliquam=nibh&erat=in&volutpat=quis&in=justo&congue=maecenas&etiam=rhoncus&justo=aliquam&etiam=lacus&pretium=morbi&iaculis=quis&justo=tortor&in=id&hac=nulla&habitasse=ultrices&platea=aliquet&dictumst=maecenas&etiam=leo&faucibus=odio&cursus=condimentum&urna=id&ut=luctus&tellus=nec&nulla=molestie&ut=sed&erat=justo&id=pellentesque&mauris=viverra&vulputate=pede&elementum=ac&nullam=diam&varius=cras&nulla=pellentesque&facilisi=volutpat&cras=dui&non=maecenas&velit=tristique&nec=est&nisi=et&vulputate=tempus&nonummy=semper&maecenas=est&tincidunt=quam&lacus=pharetra&at=magna&velit=ac&vivamus=consequat&vel=metus&nulla=sapien&eget=ut&eros=nunc&elementum=vestibulum&pellentesque=ante&quisque=ipsum&porta=primis&volutpat=in&erat=faucibus&quisque=orci&erat=luctus&eros=et,In Review,Added to newsletter,5/20/2024
22,45,Dynabox,Pru,Girogetti,pgirogettil@hatena.ne.jp,770-544-7188,32 Upham Drive,https://dailymail.co.uk/auctor/sed/tristique.aspx?pede=blandit&justo=non&eu=interdum&massa=in&donec=ante&dapibus=vestibulum&duis=ante&at=ipsum&velit=primis&eu=in&est=faucibus&congue=orci&elementum=luctus&in=et&hac=ultrices&habitasse=posuere&platea=cubilia&dictumst=curae&morbi=duis&vestibulum=faucibus&velit=accumsan&id=odio&pretium=curabitur&iaculis=convallis&diam=duis&erat=consequat&fermentum=dui&justo=nec&nec=nisi&condimentum=volutpat&neque=eleifend&sapien=donec&placerat=ut&ante=dolor&nulla=morbi&justo=vel&aliquam=lectus&quis=in&turpis=quam&eget=fringilla&elit=rhoncus&sodales=mauris&scelerisque=enim&mauris=leo&sit=rhoncus&amet=sed&eros=vestibulum&suspendisse=sit&accumsan=amet&tortor=cursus&quis=id&turpis=turpis&sed=integer&ante=aliquet&vivamus=massa&tortor=id&duis=lobortis&mattis=convallis&egestas=tortor&metus=risus&aenean=dapibus&fermentum=augue&donec=vel&ut=accumsan&mauris=tellus&eget=nisi&massa=eu&tempor=orci&convallis=mauris&nulla=lacinia&neque=sapien&libero=quis&convallis=libero&eget=nullam&eleifend=sit&luctus=amet&ultricies=turpis&eu=elementum&nibh=ligula&quisque=vehicula,In Review,Sent proposal,7/22/2024
23,55,Lajo,Karla,Tregent,ktregentm@hc360.com,313-161-0248,8183 Towne Plaza,https://bravesites.com/volutpat/convallis/morbi/odio/odio/elementum/eu.html?fringilla=pede&rhoncus=malesuada&mauris=in&enim=imperdiet&leo=et&rhoncus=commodo&sed=vulputate&vestibulum=justo&sit=in&amet=blandit&cursus=ultrices&id=enim&turpis=lorem&integer=ipsum&aliquet=dolor&massa=sit&id=amet&lobortis=consectetuer&convallis=adipiscing&tortor=elit&risus=proin&dapibus=interdum&augue=mauris&vel=non&accumsan=ligula&tellus=pellentesque&nisi=ultrices&eu=phasellus&orci=id&mauris=sapien&lacinia=in&sapien=sapien&quis=iaculis&libero=congue&nullam=vivamus&sit=metus&amet=arcu&turpis=adipiscing&elementum=molestie&ligula=hendrerit&vehicula=at&consequat=vulputate&morbi=vitae&a=nisl&ipsum=aenean&integer=lectus&a=pellentesque&nibh=eget&in=nunc&quis=donec&justo=quis&maecenas=orci&rhoncus=eget&aliquam=orci&lacus=vehicula,Closed Lost,Awaiting response,9/20/2023
24,56,Flipstorm,Merridie,Sears,msearsn@hostgator.com,124-855-5881,559 Hazelcrest Parkway,http://51.la/consequat/lectus/in/est.png?pede=fusce&venenatis=congue&non=diam&sodales=id&sed=ornare&tincidunt=imperdiet&eu=sapien&felis=urna&fusce=pretium&posuere=nisl&felis=ut&sed=volutpat&lacus=sapien&morbi=arcu&sem=sed&mauris=augue&laoreet=aliquam&ut=erat&rhoncus=volutpat&aliquet=in&pulvinar=congue&sed=etiam&nisl=justo&nunc=etiam&rhoncus=pretium&dui=iaculis&vel=justo&sem=in&sed=hac&sagittis=habitasse&nam=platea&congue=dictumst&risus=etiam&semper=faucibus&porta=cursus&volutpat=urna&quam=ut&pede=tellus&lobortis=nulla&ligula=ut&sit=erat&amet=id&eleifend=mauris&pede=vulputate&libero=elementum&quis=nullam&orci=varius&nullam=nulla&molestie=facilisi&nibh=cras&in=non,Contacted,Not the right time,10/12/2024
25,69,Realbuzz,Kenna,Colecrough,kcolecrougho@wp.com,301-333-6959,29 Westport Trail,https://unc.edu/id/ornare/imperdiet/sapien/urna/pretium/nisl.json?eros=viverra&vestibulum=pede&ac=ac&est=diam&lacinia=cras&nisi=pellentesque&venenatis=volutpat&tristique=dui&fusce=maecenas&congue=tristique&diam=est&id=et&ornare=tempus&imperdiet=semper&sapien=est&urna=quam&pretium=pharetra&nisl=magna&ut=ac&volutpat=consequat&sapien=metus&arcu=sapien&sed=ut&augue=nunc&aliquam=vestibulum&erat=ante&volutpat=ipsum&in=primis&congue=in&etiam=faucibus&justo=orci&etiam=luctus&pretium=et&iaculis=ultrices&justo=posuere&in=cubilia&hac=curae&habitasse=mauris&platea=viverra&dictumst=diam&etiam=vitae&faucibus=quam&cursus=suspendisse&urna=potenti&ut=nullam&tellus=porttitor&nulla=lacus&ut=at&erat=turpis&id=donec&mauris=posuere&vulputate=metus&elementum=vitae&nullam=ipsum&varius=aliquam&nulla=non&facilisi=mauris,Contacted,Forwarded deck,4/11/2024
26,15,JumpXS,Auberta,Freed,afreedp@prweb.com,265-673-1876,446 Melrose Road,https://nifty.com/vitae/consectetuer/eget.png?in=sapien&libero=cursus&ut=vestibulum&massa=proin&volutpat=eu&convallis=mi&morbi=nulla&odio=ac&odio=enim&elementum=in&eu=tempor&interdum=turpis&eu=nec&tincidunt=euismod&in=scelerisque&leo=quam&maecenas=turpis&pulvinar=adipiscing&lobortis=lorem&est=vitae&phasellus=mattis&sit=nibh&amet=ligula&erat=nec&nulla=sem&tempus=duis&vivamus=aliquam&in=convallis&felis=nunc&eu=proin&sapien=at,Closed Lost,Rescheduled call,3/9/2024
27,7,Brainsphere,Rosalia,Jefferson,rjeffersonq@netvibes.com,972-262-0273,7910 Caliangt Junction,https://parallels.com/ultrices/libero/non/mattis/pulvinar.png?ultrices=praesent&posuere=blandit&cubilia=nam&curae=nulla&nulla=integer&dapibus=pede&dolor=justo&vel=lacinia&est=eget&donec=tincidunt&odio=eget&justo=tempus&sollicitudin=vel&ut=pede&suscipit=morbi&a=porttitor&feugiat=lorem&et=id&eros=ligula&vestibulum=suspendisse&ac=ornare&est=consequat&lacinia=lectus&nisi=in&venenatis=est&tristique=risus&fusce=auctor&congue=sed&diam=tristique&id=in&ornare=tempus&imperdiet=sit&sapien=amet&urna=sem&pretium=fusce&nisl=consequat&ut=nulla&volutpat=nisl&sapien=nunc&arcu=nisl&sed=duis&augue=bibendum&aliquam=felis&erat=sed&volutpat=interdum&in=venenatis&congue=turpis&etiam=enim&justo=blandit&etiam=mi&pretium=in&iaculis=porttitor&justo=pede&in=justo&hac=eu&habitasse=massa&platea=donec&dictumst=dapibus&etiam=duis&faucibus=at&cursus=velit&urna=eu&ut=est&tellus=congue&nulla=elementum&ut=in&erat=hac&id=habitasse&mauris=platea&vulputate=dictumst&elementum=morbi&nullam=vestibulum&varius=velit&nulla=id&facilisi=pretium&cras=iaculis&non=diam&velit=erat&nec=fermentum&nisi=justo&vulputate=nec&nonummy=condimentum&maecenas=neque&tincidunt=sapien&lacus=placerat&at=ante&velit=nulla&vivamus=justo&vel=aliquam&nulla=quis&eget=turpis&eros=eget&elementum=elit,Negotiating,Left voicemail,12/25/2024
