CustomerID,FirstName,LastName,Email,Phone,StreetAddress,Apartment,City,State,ZipCode,CoinBalance,AccountBalance,DateJoined,IsActive,AutoReloadAmt
18,Broderick,Burgett,bburgetth@china.com.cn,772-667-9639,8067 Hagan Circle,Suite 1,Vero Beach,Florida,32964,61,17,2025-01-26,true,0
19,Adel,Goodee,agoodeei@posterous.com,716-153-7341,35 Nancy Place,19th Floor,Buffalo,New York,14210,38,42,2024-07-15,true,4
20,Lonnie,Gonzalvo,lgonzalvoj@angelfire.com,502-748-8870,97 Almo Place,Room 1781,Louisville,Kentucky,40205,318,27,2025-01-03,true,0
21,Grady,Basketter,gbasketterk@jalbum.net,717-536-0517,83 Loomis Way,Suite 57,Lancaster,Pennsylvania,17622,7,86,2024-08-13,true,11
22,Dido,Orpyne,dorpynel@etsy.com,808-555-9531,876 Charing Cross Trail,Room 712,Honolulu,Hawaii,96825,358,20,2024-04-24,true,0
23,Vallie,Ferrettino,vferrettinom@about.me,215-366-5988,1 Monterey Terrace,Room 1355,Philadelphia,Pennsylvania,19141,17,0,2025-03-15,true,0
24,Dag,Millyard,dmillyardn@mayoclinic.com,650-766-1118,6 Manufacturers Park,Apt 1202,Los Angeles,California,90045,66,15,2024-06-26,true,4
25,Lock,Winscom,lwinscomo@npr.org,702-147-5586,225 Cottonwood Point,Suite 35,Las Vegas,Nevada,89125,28,34,2025-04-04,true,0
26,Franklin,McIver,fmciverp@google.co.jp,772-280-3229,83 Columbus Circle,Apt 1040,Fort Pierce,Florida,34949,96,15,2024-04-30,true,5
27,Ulysses,Raiker,uraikerq@feedburner.com,212-141-1015,53 Springs Junction,8th Floor,New York City,New York,10203,92,23,2024-09-21,true,0
28,Jule,McMinn,jmcminnr@weebly.com,816-156-7199,0473 Stephen Drive,Suite 23,Kansas City,Missouri,64142,39,27,2024-08-05,true,15
29,Alphonso,Shoubridge,ashoubridges@noaa.gov,904-458-0318,17 Carioca Park,Room 1173,Jacksonville,Florida,32244,0,76,2024-05-27,true,0
30,Danyette,Stapels,dstapelst@state.gov,239-774-3266,37 Sugar Trail,16th Floor,Cape Coral,Florida,33915,67,90,2025-01-15,true,0
31,Keelby,Jozwicki,kjozwickiu@examiner.com,817-261-0796,179 Thierer Lane,Apt 825,Fort Worth,Texas,76121,32,13,2024-12-20,true,0
32,Leonhard,Pattingson,lpattingsonv@e-recht24.de,520-770-8996,3540 Tony Street,Room 1553,Tucson,Arizona,85710,87,66,2024-10-18,true,0
33,Brunhilda,Cicetti,bcicettiw@360.cn,317-789-1344,783 Gale Plaza,Room 1850,Indianapolis,Indiana,46207,157,17,2024-11-30,true,0
34,Emili,Saines,esainesx@baidu.com,916-900-1892,88 Buhler Court,Room 1556,Sacramento,California,95813,79,62,2024-11-09,true,0
35,Jeannine,Edinburough,jedinburoughy@icio.us,970-513-6253,6182 Green Ridge Junction,Suite 86,Greeley,Colorado,80638,97,10,2024-05-11,true,0
36,Grantley,Abeles,gabelesz@myspace.com,716-668-2302,53 Hintze Avenue,Suite 26,Buffalo,New York,14276,399,10,2024-12-27,true,0
37,Morgen,Giscken,mgiscken10@reference.com,212-857-0082,5 Coleman Drive,Room 523,Jamaica,New York,11499,22,27,2024-12-23,true,0
38,Jenifer,Derx,jderx11@alibaba.com,205-184-5635,13332 Mifflin Point,Room 1063,Tuscaloosa,Alabama,35405,98,86,2024-11-30,true,0
39,Iorgos,Dyter,idyter12@bing.com,706-171-1977,935 Monterey Park,Room 168,Columbus,Georgia,31904,11,67,2024-09-04,false,0
40,Olga,Pettit,opettit13@yale.edu,919-406-0934,15 Old Gate Place,Suite 32,Raleigh,North Carolina,27610,38,37,2025-01-01,true,0
